Time,GPS_X,GPS_Y,GPS_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.1,,,,-0.000452824,-0.001008335,0.003504994,-6.15E-05,-0.000134466,3.86E-05
0.15,,,,4.623747676,-0.292337138,9.444895254,-0.013403446,-0.050575654,-0.005410273
0.2,,,,4.359594056,-0.488119605,20.65256636,-0.008138965,-0.077425238,-0.01117917
0.25,,,,2.594655734,-0.488255317,19.54003655,0.003520771,-0.059076861,-0.015209329
0.3,,,,3.152788254,-0.398927549,15.34468878,0.009781462,-0.025105094,-0.019256009
0.35,,,,3.165640562,-0.300625995,10.37231641,0.008593077,0.012647495,-0.023151688
0.4,,,,3.043193611,-0.230533102,7.138814759,0.002536983,0.039272482,-0.026895944
0.45,,,,2.788473863,-0.220641345,6.302879186,-0.003969425,0.047456852,-0.03056425
0.5,,,,2.510520561,-0.265119081,7.290062716,-0.007666841,0.038248508,-0.034212641
0.55,,,,2.333552774,-0.330549841,8.997649183,-0.007497424,0.01862073,-0.037846861
0.6,,,,2.307557243,-0.382434663,10.43680097,-0.004371206,-0.002355354,-0.0414566
0.65,,,,2.400180126,-0.404153929,11.09562267,-0.000285769,-0.017228862,-0.045043858
0.7,,,,2.542348128,-0.398590572,10.97618704,0.002787988,-0.022501096,-0.048617836
0.75,,,,2.671527901,-0.379686519,10.40428586,0.003776507,-0.018932772,-0.052180804
0.8,,,,2.749547,-0.363252914,9.774489982,0.00276099,-0.010147823,-0.055728916
0.85,,,,2.764725392,-0.360505085,9.363020192,0.000633594,-0.000543431,-0.059262004
0.9,,,,2.728352069,-0.37481136,9.259995385,-0.001510119,0.006470141,-0.062786471
0.95,,,,2.666210492,-0.402155161,9.401497536,-0.002877354,0.009346362,-0.066309838
1,293.0645405,-2.000058,0.683704587,2.606165932,-0.434724344,9.649964592,-0.003199615,0.008368633,-0.069835696
1.05,,,,2.567304777,-0.465282527,9.873686728,-0.002678091,0.005007732,-0.073363583
1.1,,,,2.55550644,-0.48995011,9.995546708,-0.001766464,0.001075715,-0.076891391
1.15,,,,2.565593968,-0.508626916,10.00357056,-0.00092567,-0.001978277,-0.080416995
1.2,,,,2.586791511,-0.523767726,9.932840837,-0.000451679,-0.003436207,-0.083938592
1.25,,,,2.608130643,-0.538645009,9.835864023,-0.000418338,-0.003321461,-0.087454799
1.3,,,,2.622027579,-0.555920942,9.756844783,-0.000720349,-0.002159206,-0.090964981
1.35,,,,2.625627433,-0.576901199,9.718227787,-0.001167912,-0.000646748,-0.09446942
1.4,,,,2.620250231,-0.601500133,9.720109987,-0.001581056,0.000627156,-0.097969026
1.45,,,,2.609667651,-0.628711482,9.748051736,-0.001849389,0.001337303,-0.10146477
1.5,,,,2.598104063,-0.657259602,9.783364289,-0.00194752,0.00144176,-0.104957239
1.55,,,,2.588716475,-0.686133681,9.811246219,-0.001915759,0.001104119,-0.108446477
1.6,,,,2.582919919,-0.714847528,9.82462887,-0.001824672,0.000575207,-0.111932083
1.65,,,,2.580505924,-0.743426638,9.823915873,-0.001741258,8.55E-05,-0.115413402
1.7,,,,2.580244216,-0.772224576,9.814197275,-0.00170779,-0.000221165,-0.118889733
1.75,,,,2.58060707,-0.801693084,9.801835069,-0.001736127,-0.000304276,-0.122360479
1.8,,,,2.580345552,-0.832199485,9.791841071,-0.001814075,-0.000205999,-0.125825245
1.85,,,,2.578788005,-0.863934858,9.786665215,-0.001917476,-1.09E-05,-0.129283836
1.9,,,,2.575860532,-0.896911242,9.786292203,-0.002022045,0.000194085,-0.132736202
1.95,,,,2.571914756,-0.931017718,9.789131471,-0.002111154,0.000347454,-0.136182342
2,296.8653542,-2.732754597,0.68276471,2.567479859,-0.966096412,9.79310742,-0.002178493,0.000423731,-0.139622228
2.05,,,,2.563041197,-1.002006702,9.796511722,-0.002226562,0.000429603,-0.143055747
2.1,,,,2.558905531,-1.038661267,9.798423899,-0.002262962,0.000391374,-0.146482692
2.15,,,,2.555165844,-1.076033096,9.798722517,-0.002296404,0.00034053,-0.149902777
2.2,,,,2.551743359,-1.114142278,9.79783544,-0.002333711,0.000302447,-0.15331567
2.25,,,,2.548468157,-1.153034099,9.79640658,-0.002378322,0.000290664,-0.156721031
2.3,,,,2.54516093,-1.192757356,9.795016599,-0.002430206,0.000306619,-0.160118541
2.35,,,,2.54169064,-1.233347669,9.794025781,-0.002486836,0.000343143,-0.163507926
2.4,,,,2.537998606,-1.274817815,9.793542723,-0.002544733,0.000389408,-0.166888955
2.45,,,,2.53409295,-1.317156385,9.793481438,-0.002601023,0.000435364,-0.170261425
2.5,,,,2.530024968,-1.36033538,9.793656192,-0.002654428,0.000474509,-0.173625131
2.55,,,,2.525860481,-1.404324475,9.793871327,-0.002705289,0.000504723,-0.176979841
2.6,,,,2.521656133,-1.44910492,9.793981719,-0.002754703,0.000527534,-0.180325294
2.65,,,,2.517445701,-1.494673989,9.793917793,-0.002803459,0.000546519,-0.183661212
2.7,,,,2.513237128,-1.541036274,9.793681082,-0.002851623,0.000565578,-0.186987329
2.75,,,,2.507200699,-1.590439881,9.792648771,-0.002904268,0.000602119,-0.190345887
2.8,,,,2.488288268,-1.65136908,9.788434462,-0.002998318,0.000726876,-0.193918504
2.85,,,,2.483299214,-1.701199654,9.791459944,-0.003101034,0.000784977,-0.197460341
2.9,,,,2.478803671,-1.753245461,9.793643619,-0.003179416,0.000791121,-0.200995021
2.95,,,,2.474050001,-1.806187203,9.794336869,-0.003229055,0.00077454,-0.204522393
3,302.9830484,-4.819937256,0.682648964,2.469761348,-1.859570769,9.793964556,-0.003260162,0.000756959,-0.208038435
3.05,,,,-1.492356014,-1.435891466,8.51359739,0.00505696,0.028543424,-0.203730692
3.1,,,,-2.652046185,-1.363983299,9.15092243,0.005915346,0.043423909,-0.201031374
3.15,,,,-1.67877705,-1.816331319,10.39736614,-0.000163668,0.031616664,-0.209873197
3.2,,,,-1.666591118,-1.887178668,10.65346827,-0.005081009,0.013583211,-0.218512839
3.25,,,,-1.567741795,-1.938130145,10.55537639,-0.006361607,-0.003154173,-0.225741839
3.3,,,,-0.409771376,-1.673201904,10.54679586,-0.005585321,-0.020230378,-0.224984211
3.35,,,,-0.21255333,-1.759593865,9.980344576,-0.00112556,-0.025188433,-0.225148042
3.4,,,,-0.095050878,-1.750926971,9.552561293,0.002595962,-0.02044423,-0.225367504
3.45,,,,-0.013920822,-1.707457903,9.362622969,0.003568353,-0.010874435,-0.225538015
3.5,,,,-0.003416311,-1.667763742,9.373557946,0.002119599,-0.000934477,-0.225635389
3.55,,,,-0.040401302,-1.650349437,9.511430456,-0.000259355,0.006279803,-0.225668213
3.6,,,,-0.09827441,-1.65559496,9.689830833,-0.002134212,0.009509877,-0.225664773
3.65,,,,-0.152822923,-1.672757242,9.841449653,-0.002808023,0.009087986,-0.225652629
3.7,,,,-0.188888432,-1.689724981,9.930631286,-0.002368558,0.006317675,-0.225648268
3.75,,,,-0.201818453,-1.699148045,9.952374175,-0.00135339,0.002777436,-0.225656459
3.8,,,,-0.195252838,-1.699707874,9.923057333,-0.000349465,-0.000231093,-0.225673989
3.85,,,,-0.177337285,-1.694207912,9.868376644,0.000267688,-0.001978454,-0.225694064
3.9,,,,-0.156948531,-1.686784793,9.812794133,0.000403268,-0.002341697,-0.22571015
3.95,,,,-0.14091304,-1.680781699,9.772912715,0.000173968,-0.001649388,-0.225718552
4,309.3410964,-8.555886804,0.677073058,-0.132650112,-1.677809122,9.755304172,-0.000214172,-0.000441813,-0.225719161
4.05,,,,-2.159898597,-1.483786098,9.102980215,0.003468425,0.014944934,-0.222556661
4.1,,,,-2.722913721,-1.368165016,9.446987913,0.003811895,0.023239715,-0.219100838
4.15,,,,-2.764652556,-1.285035693,9.925756411,0.002030972,0.021179562,-0.215682316
4.2,,,,-2.856524654,-1.239098454,10.16636195,0.000611626,0.013540696,-0.212277665
4.25,,,,-2.875441738,-1.207071679,10.21128791,0.000551765,0.004446843,-0.208882511
4.3,,,,-2.846371155,-1.171661714,10.1132149,0.001576051,-0.002857102,-0.205494539
4.35,,,,-2.792974328,-1.124382777,9.953931504,0.002825666,-0.0067576,-0.202109003
4.4,,,,-2.737542651,-1.066876493,9.804648964,0.003565169,-0.007205758,-0.198718912
4.45,,,,-2.695752741,-1.006046572,9.707647155,0.003534004,-0.005203512,-0.195317151
4.5,,,,-2.674220982,-0.948639072,9.674107884,0.002918004,-0.00215549,-0.191899894
4.55,,,,-2.671489387,-0.898032422,9.692122159,0.002112813,0.000680156,-0.188467961
4.6,,,,-2.680993947,-0.853846554,9.738595648,0.001475638,0.002516028,-0.185025162
4.65,,,,-2.694641005,-0.813446586,9.790046326,0.001184382,0.003115862,-0.181575567
4.7,,,,-2.705718899,-0.773891775,9.829605271,0.00122505,0.002687373,-0.178121725
4.75,,,,-2.710455749,-0.733268599,9.849628767,0.001463206,0.001678962,-0.17466434
4.8,,,,-2.708192643,-0.691078135,9.850758266,0.001737346,0.000570134,-0.171202832
4.85,,,,-2.700581253,-0.647906075,9.838935883,0.001928323,-0.000280991,-0.167736118
4.9,,,,-2.690362597,-0.604803892,9.821915904,0.001987184,-0.000706129,-0.16426323
4.95,,,,-2.680214449,-0.562737464,9.806424246,0.001927095,-0.000717334,-0.160783671
5,313.7894216,-12.64334127,0.67110135,-2.671977378,-0.522280308,9.796550543,0.001796279,-0.000446745,-0.15729749
5.05,,,,-2.666367196,-0.483563826,9.793420772,0.001649008,-6.93E-05,-0.153805138
5.1,,,,-2.66311042,-0.446399624,9.795825747,0.001525491,0.000262977,-0.150307239
5.15,,,,-2.661334237,-0.410462987,9.80131909,0.001444019,0.000459748,-0.146804387
5.2,,,,-2.660016295,-0.37545061,9.807322409,0.001403175,0.000499936,-0.143297039
5.25,,,,-2.658339973,-0.341170153,9.811919591,0.001389465,0.000416513,-0.139785493
5.3,,,,-2.655876729,-0.307559722,9.814209588,0.001385847,0.000269621,-0.136269939
5.35,,,,-2.652594236,-0.274659167,9.814253294,0.001378172,0.000119927,-0.132750515
5.4,,,,-2.648742341,-0.242561314,9.812755609,0.001358396,1.01E-05,-0.129227357
5.45,,,,-2.644689558,-0.211365707,9.810657027,0.001324819,-4.22E-05,-0.125700625
5.5,,,,-2.640774885,-0.181147449,9.808782176,0.00128039,-4.24E-05,-0.122170512
5.55,,,,-2.637214846,-0.151944333,9.807631145,0.001230259,-9.41E-06,-0.118637235
5.6,,,,-2.63407656,-0.123759161,9.807331369,0.001179536,3.37E-05,-0.115101021
5.65,,,,-2.631304412,-0.096571173,9.807715079,0.001131818,6.84E-05,-0.111562095
5.7,,,,-2.628775511,-0.070350262,9.808460815,0.00108863,8.46E-05,-0.108020675
5.75,,,,-2.626358174,-0.045069119,9.809237249,0.001049646,8.11E-05,-0.104476962
5.8,,,,-2.623954745,-0.020710605,9.809805652,0.001013374,6.34E-05,-0.10093115
5.85,,,,-2.62152069,0.002730173,9.81006303,0.000977958,3.95E-05,-0.097383424
5.9,,,,-1.775236925,0.340957524,10.09363569,-0.000995324,-0.006107178,-0.086475485
5.95,,,,-1.315755018,0.391677659,10.01238411,-0.00082284,-0.010654877,-0.07436763
6,315.9215645,-15.36781819,0.674091796,-0.374405136,-0.142619757,10.07374595,-0.00076371,-0.016580332,-0.073705073
6.05,,,,2.069403075,-0.410571412,10.48227324,-0.003747493,-0.031465419,-0.077387886
6.1,,,,2.654532212,-0.489733046,9.883556982,-0.002624663,-0.033709738,-0.0809855
6.15,,,,2.72861,-0.528075028,9.343851237,-8.44E-05,-0.024155548,-0.084535317
6.2,,,,2.810139349,-0.528235406,9.165649182,0.001075203,-0.010346203,-0.088073269
6.25,,,,2.794679409,-0.522147071,9.243672781,0.000305989,0.002139279,-0.091598916
6.3,,,,2.725255198,-0.529965674,9.466232939,-0.001493198,0.009931035,-0.095112674
6.35,,,,2.640688364,-0.55687466,9.714011996,-0.003078545,0.012206299,-0.098622353
6.4,,,,2.571197489,-0.595794055,9.902488643,-0.003686746,0.010080176,-0.102134318
6.45,,,,2.532101189,-0.636118534,9.994925972,-0.003274348,0.005626124,-0.105649812
6.5,,,,2.524259503,-0.670538387,9.996260071,-0.002298302,0.000941491,-0.109166914
6.55,,,,2.538963477,-0.697322864,9.936986391,-0.001334474,-0.002486088,-0.112682786
6.6,,,,2.563739404,-0.719049593,9.855230681,-0.000780181,-0.004024731,-0.116194497
6.65,,,,2.500262915,-0.781814353,9.748086489,-0.000412768,-0.00306213,-0.120671291
6.7,,,,1.03913683,-0.908012089,9.250955301,0.001836078,0.008912251,-0.128093262
6.75,,,,0.030312655,-0.490913825,9.321203207,0.001699178,0.019877016,-0.127176852
6.8,,,,-0.016090697,-0.496609552,9.81173103,-0.000461713,0.020475309,-0.127125522
6.85,,,,-0.11424518,-0.50458822,10.09880367,-0.002223562,0.014641362,-0.127104538
6.9,,,,-0.155881468,-0.527134736,10.1934871,-0.002466049,0.00631148,-0.127102641
6.95,,,,-0.145304813,-0.545603784,10.13592849,-0.001423389,-0.001166696,-0.127108056
7,317.7969961,-18.3636143,0.675505917,-0.105036628,-0.551082967,9.997597145,1.28E-05,-0.005809414,-0.127116719
7.05,,,,1.970994244,-0.743183598,10.50313325,-0.00290436,-0.021339817,-0.130335094
7.1,,,,2.567249848,-0.834844884,10.06177013,-0.00278534,-0.027512228,-0.133867631
7.15,,,,2.623605439,-0.889683298,9.548866246,-0.001072655,-0.022451947,-0.137378715
7.2,,,,1.331486328,-0.861483431,8.848246441,0.002973259,-0.001818682,-0.140494675
7.25,,,,0.128426122,-0.639221385,8.857517938,0.003582695,0.019433264,-0.140177243
7.3,,,,0.082121326,-0.595263336,9.520761679,0.000379971,0.026787558,-0.140144587
7.35,,,,-0.083992103,-0.596811634,9.995630931,-0.002842527,0.023630606,-0.140115112
7.4,,,,-0.179082616,-0.627688857,10.24670546,-0.003989096,0.014393744,-0.140100553
7.45,,,,-0.20070194,-0.659604476,10.27515163,-0.002952788,0.003875443,-0.140098758
7.5,,,,-0.169241133,-0.675029026,10.15080914,-0.00086025,-0.004329739,-0.140105856
7.55,,,,-0.111391601,-0.671430954,9.965661887,0.000984152,-0.008513917,-0.140118124
7.6,,,,-0.052695408,-0.656429701,9.796916654,0.001813316,-0.00873078,-0.140130444
7.65,,,,-0.010656597,-0.640281015,9.689419056,0.001568827,-0.006198184,-0.140137583
7.7,,,,0.00758161,-0.630238303,9.654067096,0.000675667,-0.002557626,-0.140137383
7.75,,,,0.004128672,-0.628433101,9.676736452,-0.000314069,0.000747644,-0.140131667
7.8,,,,-0.013103675,-0.632831121,9.731172199,-0.000996768,0.002835408,-0.140124233
7.85,,,,-0.034572806,-0.639637222,9.790753255,-0.001225502,0.00346682,-0.140118326
7.9,,,,-0.052493039,-0.645504771,9.836271985,-0.00107296,0.002913453,-0.140115445
7.95,,,,-0.062616741,-0.64867236,9.85897321,-0.000722994,0.001715489,-0.140115496
8,319.6861931,-22.43174959,0.676592514,-0.06437547,-0.649007933,9.859619822,-0.000362462,0.000436077,-0.140117478
8.05,,,,-2.087575708,-0.449055211,9.190304159,0.003824867,0.013677376,-0.136915715
8.1,,,,-2.63902845,-0.341001526,9.498048178,0.004057236,0.020712811,-0.133391601
8.15,,,,-2.66731372,-0.272866553,9.937293345,0.001854508,0.01839463,-0.129881091
8.2,,,,-1.922360299,-0.239769929,10.45264837,-0.002226054,0.004727867,-0.125799579
8.25,,,,-0.193975319,-0.501247525,10.77687795,-0.004699003,-0.016552426,-0.126160069
8.3,,,,-0.157845497,-0.557818622,10.14173091,-0.002306094,-0.024631696,-0.126194626
8.35,,,,-0.014100814,-0.570043731,9.667792917,0.001075789,-0.022376637,-0.126208613
8.4,,,,0.085012128,-0.546622144,9.409901498,0.002839808,-0.014025678,-0.126222757
8.45,,,,0.112756448,-0.514661309,9.365949374,0.002401857,-0.004121589,-0.126229223
8.5,,,,0.087542627,-0.495097921,9.473885082,0.000631518,0.00383012,-0.126224175
8.55,,,,0.034097271,-0.494380915,9.64646093,-0.001187614,0.008083749,-0.126212847
8.6,,,,-0.022017044,-0.506785027,9.808782286,-0.002173115,0.00857227,-0.126202677
8.65,,,,-0.063041616,-0.522208611,9.915786567,-0.002126969,0.00637025,-0.126197615
8.7,,,,-0.081706452,-0.532810271,9.954688361,-0.001378868,0.003003272,-0.126197854
8.75,,,,-0.079758189,-0.535727271,9.937223615,-0.000448011,-0.00014827,-0.126201728
8.8,,,,-0.064406976,-0.532374261,9.887637223,0.000247582,-0.00221027,-0.126207021
8.85,,,,-0.044463812,-0.526186891,9.8313264,0.000525978,-0.00291188,-0.126211644
8.9,,,,-0.027299475,-0.520458118,9.787100718,0.000426789,-0.002474126,-0.126214213
8.95,,,,-0.017156643,-0.517107013,9.76397511,0.000114118,-0.001388558,-0.126214429
9,320.9049113,-26.35517652,0.677156457,-0.014868091,-0.516475667,9.761838623,-0.000230631,-0.000185513,-0.126212943
9.05,,,,-2.046346689,-0.318993334,9.119883616,0.003440235,0.014927282,-0.123002303
9.1,,,,-2.612422734,-0.217590707,9.467188217,0.003400751,0.022854381,-0.119467855
9.15,,,,-2.655228417,-0.156783243,9.942398908,0.001182346,0.020490636,-0.115946493
9.2,,,,-2.747098073,-0.136069061,10.17635017,-0.00053561,0.012694559,-0.112427727
9.25,,,,-2.765858873,-0.130111178,10.21489834,-0.000711504,0.003597344,-0.108909839
9.3,,,,-2.73715152,-0.120166618,10.11266747,0.000331946,-0.003599253,-0.105390676
9.35,,,,-2.684964383,-0.097683924,9.951861272,0.001659687,-0.007344118,-0.10186979
9.4,,,,-2.631596248,-0.064731596,9.803067764,0.002477268,-0.007644106,-0.098347097
9.45,,,,-2.592499231,-0.028571075,9.707563802,0.002497828,-0.005535903,-0.094821505
9.5,,,,-2.573956449,0.003969713,9.675642586,0.001906206,-0.002435075,-0.091291961
9.55,,,,-2.574193975,0.029636344,9.69484395,0.001107212,0.000408028,-0.087758554
9.6,,,,-2.5864382,0.048962971,9.741867125,0.000466239,0.002224052,-0.084222223
9.65,,,,-2.096019239,0.271623931,9.977489423,-0.001276761,-0.001169991,-0.075878175
9.7,,,,-0.35449921,-0.093087243,10.42501967,-0.003529314,-0.014551124,-0.074666028
9.75,,,,-0.034020106,-0.218204827,10.03810114,-0.002159337,-0.019991173,-0.075022665
9.8,,,,0.030890679,-0.221391258,9.652928989,0.000392353,-0.017111473,-0.075050521
9.85,,,,0.10500978,-0.205565056,9.471311649,0.001897161,-0.009973962,-0.075065466
9.9,,,,0.119101967,-0.181505486,9.458043837,0.00174467,-0.002139465,-0.075069
9.95,,,,0.093224648,-0.166054137,9.558516593,0.000518211,0.003784749,-0.075066387
10,321.4582791,-29.24611402,0.677871531,0.048554771,-0.164724301,9.701089016,-0.000812259,0.006642329,-0.075061626
10.05,,,,2.032740092,-0.373499242,10.48063506,-0.005399971,-0.007610083,-0.07827782
10.1,,,,2.561408274,-0.479767055,10.22597639,-0.005199322,-0.017093627,-0.0818206
10.15,,,,2.585044461,-0.539889309,9.787445548,-0.002208,-0.017462122,-0.085356143
10.2,,,,2.678130989,-0.554467139,9.540646152,0.000355436,-0.012389229,-0.088897613
10.25,,,,2.711069381,-0.549930537,9.459305548,0.001080789,-0.005197799,-0.09243486
10.3,,,,2.700189066,-0.548784373,9.511276519,0.000168239,0.001223023,-0.095960406
10.35,,,,2.662894096,-0.563085706,9.632286319,-0.001372099,0.005197558,-0.099475606
10.4,,,,2.618427461,-0.592372317,9.760810779,-0.002578224,0.00634416,-0.102986168
10.45,,,,2.581790322,-0.629239704,9.855570525,-0.002999371,0.005248509,-0.106496462
10.5,,,,2.560514022,-0.665909355,9.900117636,-0.002715016,0.002969688,-0.110007665
10.55,,,,2.555055952,-0.698072488,9.898613778,-0.002095288,0.000573529,-0.113518677
10.6,,,,2.561073431,-0.725434313,9.867254091,-0.001525458,-0.001182991,-0.117027427
10.65,,,,2.055038202,-0.961685309,9.639236843,0.000171361,0.002052525,-0.125426074
10.7,,,,0.308966429,-0.606384994,9.202505202,0.002296089,0.015078211,-0.12652287
10.75,,,,-0.001395951,-0.49270308,9.596172898,0.001187473,0.020104073,-0.126191198
10.8,,,,-0.066989388,-0.490158856,9.977859526,-0.000991476,0.016975091,-0.126165501
10.85,,,,-0.137529425,-0.504849416,10.15431391,-0.002218131,0.009755375,-0.126155362
10.9,,,,-0.147961191,-0.526367729,10.16190314,-0.001958755,0.001975516,-0.126157012
10.95,,,,-0.120351704,-0.539581705,10.05686048,-0.000768951,-0.00381209,-0.126163163
11,321.7827307,-32.77351116,0.675955531,-0.075702351,-0.539858596,9.91211358,0.000455682,-0.006514423,-0.126171312
11.05,,,,-2.060362358,-0.332185325,9.131673526,0.005007413,0.007862238,-0.122969127
11.1,,,,-2.590035365,-0.217670466,9.384690031,0.004974622,0.017410256,-0.119439539
11.15,,,,-2.615036004,-0.147565529,9.822603942,0.002151684,0.017779846,-0.115918845
11.2,,,,-2.707184537,-0.124067189,10.06777999,-0.000348674,0.012657644,-0.112397836
11.25,,,,-2.737993682,-0.120744948,10.1462384,-0.001127222,0.005394189,-0.108877548
11.3,,,,-2.725623273,-0.115890724,10.09106294,-0.00034354,-0.001090711,-0.105356695
11.35,,,,-2.687942404,-0.098173261,9.968094425,0.001043767,-0.005103103,-0.101834627
11.4,,,,-2.64362208,-0.068081394,9.839797977,0.002108801,-0.006259365,-0.098311251
11.45,,,,-2.607150435,-0.032575491,9.747160277,0.002414328,-0.005153086,-0.094785629
11.5,,,,-2.586005394,0.000942837,9.705451529,0.002036683,-0.002853107,-0.091256563
11.55,,,,-2.580809539,0.028300665,9.709237675,0.001335821,-0.000432625,-0.087723735
11.6,,,,-2.587315805,0.049212062,9.741578049,0.000686873,0.001346964,-0.084187767
11.65,,,,-2.599195759,0.065885715,9.783108117,0.000311933,0.002158818,-0.080649489
11.7,,,,-2.610574384,0.081082485,9.818490045,0.000244907,0.002067664,-0.077109408
11.75,,,,-2.617626551,0.096735132,9.839415823,0.000389085,0.001386235,-0.073567689
11.8,,,,-1.665806875,0.400071912,10.16524329,-0.001574104,-0.006420825,-0.063212385
11.85,,,,-0.201372851,-0.130114255,10.36788004,-0.002775847,-0.018834856,-0.063590728
11.9,,,,-0.011453944,-0.167193072,9.907535472,-0.001046954,-0.021474574,-0.063815335
11.95,,,,0.070645305,-0.165024958,9.561360055,0.001115031,-0.01643191,-0.063848297
12,321.7500723,-35.60945938,0.678634519,0.130222713,-0.145526523,9.425290429,0.001986485,-0.008043885,-0.063861564
12.05,,,,2.157131044,-0.323962234,10.10757142,-0.002467033,-0.014134789,-0.067084657
12.1,,,,2.678421798,-0.406482501,9.903759931,-0.003601704,-0.016157122,-0.070627214
12.15,,,,2.664685987,-0.458793867,9.596220976,-0.00230385,-0.0117802,-0.074161728
12.2,,,,2.710570485,-0.478657845,9.492694597,-0.000881651,-0.00521286,-0.07770146
12.25,,,,2.70346334,-0.484540988,9.519979442,-0.000401456,0.000830106,-0.081238979
12.3,,,,2.669626174,-0.491510799,9.625856737,-0.000836171,0.004653933,-0.084770041
12.35,,,,2.62811322,-0.507758028,9.748868208,-0.001598439,0.00582223,-0.088295711
12.4,,,,2.593512851,-0.532980083,9.844338397,-0.002126168,0.004858784,-0.091818731
12.45,,,,2.573376209,-0.562384283,9.892290267,-0.002189553,0.002759932,-0.095340728
12.5,,,,2.568226971,-0.591193511,9.894496746,-0.001889162,0.000535198,-0.098861734
12.55,,,,2.57391049,-0.617119073,9.866077061,-0.00148332,-0.001099906,-0.102380767
12.6,,,,2.584424822,-0.640528386,9.826140016,-0.001204063,-0.001840525,-0.105896448
12.65,,,,2.594286017,-0.663264944,9.790636312,-0.001156095,-0.001748775,-0.109407507
12.7,,,,2.599953054,-0.687257043,9.768713618,-0.001312867,-0.001115942,-0.112913191
12.75,,,,2.600239019,-0.713634628,9.762364041,-0.001572821,-0.000301775,-0.116413413
12.8,,,,2.595913267,-0.742536847,9.768285877,-0.001827116,0.000394672,-0.119908577
12.85,,,,2.588855339,-0.773414096,9.780644211,-0.002005307,0.000804924,-0.123399211
12.9,,,,2.581144615,-0.805496739,9.793629507,-0.002088727,0.000899999,-0.126885663
12.95,,,,2.574375797,-0.838169299,9.803152151,-0.00209892,0.000754985,-0.130367946
13,321.410414,-38.94351618,0.682692385,2.569334608,-0.871139101,9.807477388,-0.002075431,0.000493721,-0.133845763
13.05,,,,2.566017653,-0.904419148,9.806967814,-0.002055441,0.000236258,-0.137318621
13.1,,,,2.563882034,-0.938208574,9.803298239,-0.002061882,6.39E-05,-0.140785973
13.15,,,,2.562177938,-0.972755475,9.798540299,-0.002100846,7.09E-06,-0.144247331
13.2,,,,2.560239047,-1.008255848,9.794424344,-0.002165596,5.18E-05,-0.147702335
13.25,,,,2.557657196,-1.044807073,9.791937049,-0.002243363,0.000158202,-0.151150761
13.3,,,,2.554324997,-1.082409682,9.791265559,-0.002321699,0.000280357,-0.154592474
13.35,,,,2.550374608,-1.120999671,9.791994735,-0.002392486,0.000382314,-0.15802737
13.4,,,,2.546063351,-1.160491475,9.793419783,-0.002453027,0.000445742,-0.161455315
13.45,,,,2.541657177,-1.200814488,9.794846322,-0.002504808,0.00047,-0.164876119
